title,num_subscribers,course_type,institution,Level,subject,lang,price,ventas,Plataforma
Negociación exitosa: Estrategias y habilidades esenciales (en español),0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,Español,49,0,Edx
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,49,513912,Edx
Macroeconomics - The Basics,0,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,79,0,Edx
Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,99,535590,Edx
Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Business & Management,Español,79,1851839,Edx
Herramientas de ciencia de datos: uso práctico,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,39,0,Edx
Bienestar para el desarrollo personal y profesional,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Health & Safety,Español,29,0,Edx
Energía eléctrica: conceptos y principios básicos,9762,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Engineering,Español,49,478338,Edx
Market Segmentation Analysis,17055,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,99,1688445,Edx
Pensamento crítico: tomada de decisões fundamentadas,0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Português,149,0,Edx
AP® English Literature & Composition – Part 2: Poems,5719,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,49,280231,Edx
"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,150,2535750,Edx
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,99,0,Edx
How to Design a Successful Business Model,33656,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,99,3331944,Edx
Ecodesign for Cities and Suburbs,28472,Self-paced on your time,University of British Columbia,Introductory,Environmental Studies,English,99,2818728,Edx
Agile Software Development,37158,Self-paced on your time,ETH Zurich,Introductory,Computer Science,English,50,1857900,Edx
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced on your time,Universidad del Rosario,Intermediate,Computer Science,Español,49,448056,Edx
Essentials of Program Strategy and Evaluation,0,Self-paced on your time,Stanford University,Introductory,Philanthropy,English,50,0,Edx
Gestão de Projetos de Desenvolvimento,28337,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Português,49,1388513,Edx
Innovation: From Plan to Product,12918,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,249,3216582,Edx
Introduction to Database Queries,0,Self-paced on your time,New York University,Introductory,Computer Science,English,166,0,Edx
Climate Change: Carbon Capture and Storage,10551,Self-paced on your time,The University of Edinburgh,Introductory,Engineering,English,49,516999,Edx
Reservoir Geomechanics,5280,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,English,129,681120,Edx
Fundamentos de administración estratégica,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Business & Management,Español,49,0,Edx
IoT System Architecture: Design and Evaluation,5914,Self-paced on your time,Waseda University,Introductory,Computer Science,English,99,585486,Edx
Noongar Language and Culture,10858,Self-paced on your time,Curtin University,Introductory,Language,English,139,1509262,Edx
Sorting Truth From Fiction: Civic Online Reasoning,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Education & Teacher Training,English,49,0,Edx
Sustainable Food Security: Food Access,18943,Self-paced on your time,Wageningen University & Research,Introductory,Social Sciences,English,49,928207,Edx
Bases Matemáticas: Integrales,23703,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,50,1185150,Edx
Epidemics II,8565,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,139,1190535,Edx
Derechos humanos: Los derechos de las personas refugiadas,28398,Self-paced on your time,Amnesty International,Introductory,Humanities,Español,49,1391502,Edx
Sign Language Science: Factors Contributing to Natural Learning,0,Self-paced on your time,Georgetown University,Introductory,Language,English,99,0,Edx
Big Data Analytics,43009,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,199,8558791,Edx
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Self-paced on your time,Imperial College London,Intermediate,Math,English,49,323106,Edx
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Social Sciences,Español,25,400700,Edx
Achieving Product-Market Fit,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,199,0,Edx
Culture and Law: The East Asian Perspective,0,Self-paced on your time,Waseda University,Introductory,Social Sciences,English,49,0,Edx
Fundamentals of Market Structure,32049,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,25,801225,Edx
Protecting Children in Humanitarian Settings,7246,Self-paced on your time,Columbia University,Intermediate,Social Sciences,English,50,362300,Edx
How to Achieve the Sustainable Development Goals,12719,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,49,623231,Edx
Aprendizaje y Enseñanza en la Era Digital,16954,Self-paced on your time,Universidad Galileo,Intermediate,Education & Teacher Training,Español,49,830746,Edx
From Atoms to Stars: How Physics Explains Our World,15914,Self-paced on your time,National Research Nuclear University,Intermediate,Physics,English,49,779786,Edx
The Threat of Nuclear Terrorism,0,Self-paced on your time,Stanford University,Introductory,History,English,50,0,Edx
Introducción a Matemáticas para Finanzas y Negocios,0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,49,0,Edx
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,75,0,Edx
Liderazgo inclusivo,0,Self-paced on your time,Universidad Carlos III de Madrid,Intermediate,Business & Management,Español,29,0,Edx
مساق اللّغة العربيّة,0,Self-paced on your time,United Arab Emirates University,Introductory,Language,اللغة العربية,49,0,Edx
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,79,658070,Edx
Contemporary Issues in World Politics,11426,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,59,674134,Edx
More Fun with Prime Numbers,10604,Self-paced on your time,Kyoto University,Intermediate,Math,English,49,519596,Edx
Enterprise Selling,5020,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,149,747980,Edx
Climate Change: Financial Risks and Opportunities,9977,Self-paced on your time,Imperial College Business School-Imperial College London,Intermediate,Economics & Finance,English,79,788183,Edx
Caer o No caer. El Secreto de las Estructuras.,20939,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Engineering,Español,29,607231,Edx
Mandarin Chinese Level 2,8784,Self-paced on your time,MandarinX,Introductory,Language,English,149,1308816,Edx
Design Thinking: Prototyping and User Testing,10769,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,299,3219931,Edx
